"Position","Positie"
"Price","Prijs"
"Price Including Tax","Prijs inclusief BTW"
"Product","Product"
"Product Category","Product Categorie"
"Product ID","Product ID"
"Product Image","Product-afbeelding"
"Product Type","Product-type"
"Product URL","Product URL"
"Product Website","Product Website"
"Product and Custom Options Name","Product en extra opties Naam"
"Qty","Hoeveelheid"
"Qty Increments","Hoeveelheid Increments"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
"Qty for Item's Status to Become Out of Stock","Hoeveelheid waarbij item niet meer in voorraad is"
"REST - Attributes","REST - Attributen"
"REST - Roles","REST - Rollen"
"REST ACL Attributes","REST ACL Attributen"
"REST Attributes","REST Attributen"
"REST Role","REST Role"
"REST Roles","REST Rollen"
"REST Roles Information","REST Roles Information"
"Read","Read"
"Refunded Qty","Refunded Qty"
"Regular Price With Tax","Regular Price With Tax"
"Regular Price Without Tax","Regular Price Without Tax"
"Rest Roles","Rest Roles"
"Retrieve","Retrieve"
"Role ""%s"" no longer exists","Role ""%s"" no longer exists"
"Role ""%s"" not found.","Role ""%s"" not found."
"Role API Resources","Role API Resources"
"Role Info","Rol Informatie"
"Role Information","Rolinformatie"
"Role Name","Rolnaam"
"Role Users","Rol gebruikers"
"Role has been deleted.","Role has been deleted."
"Roles","Rollen"
"SKU","SKU"
"Salability Status","Salability Status"
"Sales","Verkoop"
"Save","Opslaan"
"Shipped Qty","Shipped Qty"
"Shipping Amount","Verzendkosten"
"Shipping Discount","Shipping Discount"
"Shipping Including Tax","Shipping Including Tax"
"Shipping Method","Verzendmethode"
"Shipping Tax","Shipping Tax"
"State","Provincie"
"Stock Availability","Voorraad beschikbaarheid"
"Stock ID","Stock ID"
"Stock Item","Stock Item"
"Stock Status","Stock Status"
"Store Currency to Order Currency Rate","Store Currency to Order Currency Rate"
"Store Name","Winkelnaam"
"Street","Street"
"Subtotal","subtotaal"
"Subtotal Including Tax","Subtotal Including Tax"
"System","Systeem"
"Tax Amount","BTW waarde"
"Tax Name","Tax Name"
"Tax Percent","BTW-percentage"
"Tax Rate","BTW-tarief"
"The ""enable_qty_increments"" field must be set to 0 or 1.","The ""enable_qty_increments"" field must be set to 0 or 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","The ""is_decimal_divided"" field must be set to 0 or 1."
"The ""is_in_stock"" field must be set to 0 or 1.","The ""is_in_stock"" field must be set to 0 or 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","The ""is_qty_decimal"" field must be set to 0 or 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","The ""is_qty_decimal"" field must be set to 0, 1, or 2."
"The ""manage_stock"" field must be set to 0 or 1.","The ""manage_stock"" field must be set to 0 or 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Het veld ""stock_status_changed_auto"" moet 0 of 1 zijn."
"The ""use_config_backorders"" field must be set to 0 or 1.","Het veld ""use_config_backorders"" moet 0 of 1 zijn."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Het veld ""use_config_enable_qty_inc"" moet 0 of 1 zijn."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Het veld ""use_config_manage_stock"" moet 0 of 1 zijn."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Het veld ""use_config_max_sale_qty"" moet 0 of 1 zijn."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Het veld ""use_config_min_qty"" moet 0 of 1 zijn."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Het veld ""use_config_min_sale_qty"" moet 0 of 1 zijn."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Het veld ""use_config_notify_stock_qty"" moet 0 of 1 zijn."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Het veld ""use_config_qty_increments"" moet 0 of 1 zijn."
"The attribute rules were saved.","De attribuut regels zijn opgeslagen"
"The role has been saved.","De rol is opgeslagen."
"The role is a special one and not for assigning it to admin users.","Deze rol is speciaal en kan niet worden gebruikt voor beheerders."
"Total Due","Totaal Verschuldigd"
"Total Paid","Totaal Betaald"
"Total Refunded","Totaal Terugbetaald"
"Total Reviews Count","Aantal reviews"
"Type","Type"
"URL","URL"
"Update","Update"
"Use Config Settings for Allow Gift Message","Gebruik configuratie-settings om een cadeau-bericht toe te staan"
"Use Config Settings for Allow Gift Wrapping","Gebruik configuratie-settings om cadeau-verpakking toe te staan"
"Use Config Settings for Backorders","Gebruik configuratie-opties voor backorders"
"Use Config Settings for Enable Qty Increments","Gebruik configuratie-opties om increments in te stellen"
"Use Config Settings for Manage Stock","Gebruik configuratie-opties om de voorraad te beheren"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Gebruik configuratie-opties voor maximum aantal items in winkelwagen"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Gebruik configuratie-opties voor minimum aantal items in winkelwagen"
"Use Config Settings for Notify for Quantity Below","Gebruik configuratie-opties voor notificatie bij onderstaand aantal"
"Use Config Settings for Qty Increments","Gebruik configuratie-opties voor increments"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Gebruik configuratie-opties voor voorraad-instellingen"
"User Type","Gebruikers-type"
"User type ""%s"" no longer exists","Gebruikers-type ""%s"" bestaat niet meer"
"User type ""%s"" not found.","Gebruikers-type ""%s"" is niet gevonden"
"Web Services","Webservices"
"Web services","Webservices"
"Write","Schrijven"
"ZIP/Postal Code","Postcode"
