"Item Subtotal Including Tax","பொருளுக்கான வரியுடன் கூடிய உப மொத்த தொகை "
"Label","சிட்டை"
"Last Logged In","கடைசியாக உள்ளே நுழைந்தது "
"Last Name","கடைசி பெயர் "
"Low Stock Date","குறைந்த ஸ்டாக்  இருக்கும்  தேதி"
"Manage Stock","ஸ்டாக்கை நிர்வகிக்கவும் "
"Maximum Qty Allowed in Shopping Cart","கூடையில் அனுமதிக்கப்பட்ட அதிகபட்ச அளவு "
"Minimum Qty Allowed in Shopping Cart","கூடையில் அனுமதிக்கப்பட்ட குறைந்தபட்ச அளவு"
"New Role","புதிய பாத்திரத்தை சேர்"
"Notify for Quantity Below","இந்த அளவிற்கு கிழே வரும் பொழுது தெரிவிக்கவும் "
"OAuth","OAuth"
"Order","ஆர்டர்"
"Order Addresses","ஆர்டர் முகவரிகள்"
"Order Comments","ஆர்டர் பற்றிய கருத்துரைகள்"
"Order Currency","ஆர்டர் செய்யும் கரன்சி அல்லது நாணயம் "
"Order Date","ஆர்டர் தேதி"
"Order ID","ஆர்டர் குறியீடு"
"Order ID (internal)","ஆர்டர் குறியீடு(உட்புறமான)"
"Order Item ID","ஆர்டர் பொருள் குறியீடு"
"Order Items","ஆர்டர் பொருள்கள் "
"Order Status","ஆர்டரின் நிலை "
"Ordered Qty","ஆர்டர் செய்யப்பட்ட அளவு "
"Orders","ஆர்டர்கள் "
"Original Price","அசல் விலை"
"Parent Order Item ID","மூல ஆர்டர் பொருள் குறியீடு "
"Payment Method","கட்டண முறை"
"Phone Number","தொலைபேசி எண்"
"Placed from IP","இந்த IPயிலிருந்து வைக்கப்பட்டது "
"Please enter a valid number in ""max_sale_qty"" field","""Max_sale_qty"" பீல்டில் சரியான எண்ணை உள்ளிடவும்"
"Please enter a valid number in ""min_qty"" field","""Min_qty"" பீல்டில்  சரியான எண்ணை உள்ளிடவும்"
"Please enter a valid number in ""min_sale_qty"" field","""min_sale_qty"" பீல்டில்  சரியான எண்ணை உள்ளிடவும்"
"Please enter a valid number in ""notify_stock_qty"" field","""notify_stock_qty"" பீல்டில்  சரியான எண்ணை உள்ளிடவும்"
"Please use numbers only in ""category_id"" field.","""Category_id"" பீல்டில்மட்டும் எண்கள் பயன்படுத்தவும்."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","""Qty_increments"" பீல்டில்   மட்டும்  எண்கள் பயன்படுத்தவும். இடைவெளிகள் அல்லது புள்ளிகள் அல்லது காற்புள்ளிகளால் போன்றவற்றை தவிர்க்க வேண்டும்."
"Position","நிலை"
"Price","விலை"
"Price Including Tax","விலை வரி உள்பட"
"Product","பொருள் "
"Product Category","பொருள் பிரிவு"
"Product ID","பொருள் குறியீடு "
