"%s","%s"
"ACL Attribute Rules","ACL Attribute Rules"
"ACL Attributes Information","ACL Attributes Information"
"Add","הוסף"
"Add Admin Role","Add Admin Role"
"Add New Role","הוסף תפקיד חדש"
"Address Type","Address Type"
"Admin","ניהול"
"Allow","אפשר"
"An error occurred while deleting the role.","An error occurred while deleting the role."
"An error occurred while saving attribute rules.","An error occurred while saving attribute rules."
"An error occurred while saving role.","An error occurred while saving role."
"Api Rules Information","Api Rules Information"
"Assigned","משוייך"
"Associate to Website","Associate to Website"
"Attribute Rules Information","Attribute Rules Information"
"Attribute Set","Attribute Set"
"Attributes","תכונות"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Back","Back"
"Backorders","הזמנות בחוסר מלאי"
"Base Currency","Base Currency"
"Base Customer Balance","Base Customer Balance"
"Base Discount","Base Discount"
"Base Discount Amount","Base Discount Amount"
"Base Item Subtotal","Base Item Subtotal"
"Base Item Subtotal Including Tax","Base Item Subtotal Including Tax"
"Base Original Price","Base Original Price"
"Base Price","Base Price"
"Base Price Including Tax","Base Price Including Tax"
"Base Shipping","Base Shipping"
"Base Shipping Discount","Base Shipping Discount"
"Base Shipping Tax","Base Shipping Tax"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Base Subtotal Including Tax"
"Base Tax Amount","Base Tax Amount"
"Base Total Due","Base Total Due"
"Base Total Paid","Base Total Paid"
"Base Total Refunded","Base Total Refunded"
"Buy Now URL","Buy Now URL"
"Can Be Divided into Multiple Boxes for Shipping","Can Be Divided into Multiple Boxes for Shipping"
"Canceled Qty","Canceled Qty"
"Catalog","קטלוג"
"Catalog Product","Catalog Product"
"CatalogInventory","CatalogInventory"
"Category ID","Category ID"
"City","City"
"Company","Company"
"Country","Country"
"Coupon Code","קוד קופון"
"Create","צור"
"Create Permanent Redirect for old URL","צור הפניה קבועה בשביל כתובת URL ישנה"
"Created From","Created From"
"Customer","לקוח"
"Customer Address","Customer Address"
"Customer Address ID","Customer Address ID"
"Customer Balance","Customer Balance"
"Customer First Name","Customer First Name"
"Customer ID","Customer ID"
"Customer Last Name","שם משפחה של הלקוח"
"Customer Middle Name","Customer Middle Name"
"Customer Prefix","Customer Prefix"
"Customer Suffix","Customer Suffix"
"Default Image","Default Image"
"Delete","Delete"
"Deny","Deny"
"Disable automatic group change based on VAT ID","Disable automatic group change based on VAT ID"
"Discount","הנחה"
"Discount Amount","גובה הנחה"
"Discount Description","Discount Description"
"Edit","ערוך"
"Edit %s ACL attribute rules","Edit %s ACL attribute rules"
"Edit Role","ערוך תפקיד"
"Edit attribute rules for %s Role","Edit attribute rules for %s Role"
"Email","Email"
"Enable Qty Increments","אפשר תוספת כמות"
"Exclude","שלל"
"File Content","File Content"
"File MIME Type","File MIME Type"
"File Name","File Name"
"Final Price With Tax","Final Price With Tax"
"Final Price Without Tax","Final Price Without Tax"
"First Name","First Name"
"Gift Message","הודעת ברכה"
"Grand Total","סה""כ"
"Grand Total to Be Charged","Grand Total to Be Charged"
"Group","Group"
"Guest","Guest"
"Has Custom Options","Has Custom Options"
"ID","ID"
"Inventory Data","Inventory Data"
"Invoiced Qty","Invoiced Qty"
"Is Confirmed","Is Confirmed"
"Is Default Billing Address","Is Default Billing Address"
"Is Default Shipping Address","Is Default Shipping Address"
"Item ID","Item ID"
"Item Subtotal","Item Subtotal"
"Item Subtotal Including Tax","Item Subtotal Including Tax"
"Label","Label"
"Last Logged In","Last Logged In"
"Last Name","Last Name"
"Low Stock Date","Low Stock Date"
"Manage Stock","נהל מלאי"
"Maximum Qty Allowed in Shopping Cart","כמות מירבית המותרת בסל הקניות"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בסל הקניות"
"New Role","תפקיד חדש"
"Notify for Quantity Below","Notify for Quantity Below"
"OAuth","OAuth"
"Order","Order"
"Order Addresses","Order Addresses"
"Order Comments","הערות הזמנה"
"Order Currency","Order Currency"
"Order Date","תאריך הזמנה"
"Order ID","מזהה הזמנה"
"Order ID (internal)","Order ID (internal)"
"Order Item ID","Order Item ID"
"Order Items","Order Items"
"Order Status","סטטוס ההזמנה"
"Ordered Qty","Ordered Qty"
"Orders","הזמנות"
"Original Price","מחיר מקורי"
"Parent Order Item ID","Parent Order Item ID"
"Payment Method","שיטת התשלום"
"Phone Number","Phone Number"
"Placed from IP","התקבלה מכתובת IP"
"Please enter a valid number in ""max_sale_qty"" field","Please enter a valid number in ""max_sale_qty"" field"
"Please enter a valid number in ""min_qty"" field","Please enter a valid number in ""min_qty"" field"
"Please enter a valid number in ""min_sale_qty"" field","Please enter a valid number in ""min_sale_qty"" field"
"Please enter a valid number in ""notify_stock_qty"" field","Please enter a valid number in ""notify_stock_qty"" field"
"Please use numbers only in ""category_id"" field.","Please use numbers only in ""category_id"" field."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas."
"Position","מיקום"
"Price","מחיר"
"Price Including Tax","Price Including Tax"
"Product","מוצר"
"Product Category","Product Category"
"Product ID","ID של מוצר"
"Product Image","Product Image"
"Product Type","סוג המוצר"
"Product URL","Product URL"
"Product Website","Product Website"
"Product and Custom Options Name","Product and Custom Options Name"
"Qty","כמות"
"Qty Increments","Qty Increments"
"Qty Uses Decimals","שימוש במספר עשרוניים בכמות"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"REST - Attributes","REST - Attributes"
"REST - Roles","REST - Roles"
"REST ACL Attributes","REST ACL Attributes"
"REST Attributes","REST Attributes"
"REST Role","REST Role"
"REST Roles","REST Roles"
"REST Roles Information","REST Roles Information"
"Read","Read"
"Refunded Qty","Refunded Qty"
"Regular Price With Tax","Regular Price With Tax"
"Regular Price Without Tax","Regular Price Without Tax"
"Rest Roles","Rest Roles"
"Retrieve","Retrieve"
"Role ""%s"" no longer exists","Role ""%s"" no longer exists"
"Role ""%s"" not found.","Role ""%s"" not found."
"Role API Resources","Role API Resources"
"Role Info","פרטי תפקיד"
"Role Information","פרטי תפקיד"
"Role Name","שם תפקיד"
"Role Users","תפקיד - משתמשים"
"Role has been deleted.","Role has been deleted."
"Roles","תפקידים"
"SKU","מק""ט"
"Salability Status","Salability Status"
"Sales","מכירות"
"Save","Save"
"Shipped Qty","Shipped Qty"
"Shipping Amount","כמות למשלוח"
"Shipping Discount","Shipping Discount"
"Shipping Including Tax","Shipping Including Tax"
"Shipping Method","שיטת משלוח"
"Shipping Tax","Shipping Tax"
"State","מדינה"
"Stock Availability","ניהול מלאי"
"Stock ID","Stock ID"
"Stock Item","Stock Item"
"Stock Status","Stock Status"
"Store Currency to Order Currency Rate","Store Currency to Order Currency Rate"
"Store Name","חנות - שם"
"Street","Street"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal Including Tax"
"System","מערכת"
"Tax Amount","סה""כ מע""מ"
"Tax Name","Tax Name"
"Tax Percent","אחוז מע""מ"
"Tax Rate","שיעור מס"
"The ""enable_qty_increments"" field must be set to 0 or 1.","The ""enable_qty_increments"" field must be set to 0 or 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","The ""is_decimal_divided"" field must be set to 0 or 1."
"The ""is_in_stock"" field must be set to 0 or 1.","The ""is_in_stock"" field must be set to 0 or 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","The ""is_qty_decimal"" field must be set to 0 or 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","The ""is_qty_decimal"" field must be set to 0, 1, or 2."
"The ""manage_stock"" field must be set to 0 or 1.","The ""manage_stock"" field must be set to 0 or 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","The ""stock_status_changed_auto"" field must be set to 0 or 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","The ""use_config_backorders"" field must be set to 0 or 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","The ""use_config_enable_qty_inc"" field must be set to 0 or 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","The ""use_config_manage_stock"" field must be set to 0 or 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","The ""use_config_max_sale_qty"" field must be set to 0 or 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","The ""use_config_min_qty"" field must be set to 0 or 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","The ""use_config_min_sale_qty"" field must be set to 0 or 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","The ""use_config_notify_stock_qty"" field must be set to 0 or 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","The ""use_config_qty_increments"" field must be set to 0 or 1."
"The attribute rules were saved.","The attribute rules were saved."
"The role has been saved.","התפקיד נשמר."
"The role is a special one and not for assigning it to admin users.","The role is a special one and not for assigning it to admin users."
"Total Due","סה""כ לתשלום"
"Total Paid","סה""כ שולם"
"Total Refunded","סה""כ זוכה"
"Total Reviews Count","Total Reviews Count"
"Type","סוג"
"URL","URL"
"Update","עדכן"
"Use Config Settings for Allow Gift Message","Use Config Settings for Allow Gift Message"
"Use Config Settings for Allow Gift Wrapping","Use Config Settings for Allow Gift Wrapping"
"Use Config Settings for Backorders","Use Config Settings for Backorders"
"Use Config Settings for Enable Qty Increments","Use Config Settings for Enable Qty Increments"
"Use Config Settings for Manage Stock","Use Config Settings for Manage Stock"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Use Config Settings for Maximum Qty Allowed in Shopping Cart"
