"Active","Actief"
"Add Attribute Mapping","Attribuut-toewijzing toevoegen"
"Add New Attribute","Nieuw attribuut toevoegen"
"Add to Google Base","Toevoegen aan Google Base"
"Are you sure?","Weet u het zeker?"
"Attribute","Attribuut"
"Attribute Set","Attributenset"
"Attribute Set and Item Type","Attributen-set en artikeltype"
"Attributes","Attributen"
"Attributes Mapping","Attribuut mapping"
"Attributes Set","Attributen-set"
"AuthSub","AuthSub"
"Available Products","Beschikbare producten"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Basis valuta moet in de Systeem Configuratie worden ingesteld van %s naar %s. Anders zullen prijzen niet correct in Google Base eindigen."
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","Fout bij bevestiging captcha: %s"
"Captcha has been confirmed.","Captcha is niet geaccepteerd."
"Catalog","Catalogus"
"Clicks","Clicks"
"ClientLogin","Klant-login"
"Confirm","Bevestigen"
"Current Mapping will be reloaded. Continue?","Huidige toewijzing wordt opnieuw geladen. Doorgaan?"
"Custom attribute, no mapping","Toegevoegd attribuut, geen toewijzing"
"Delete","Verwijder"
"Delete Mapping","Toewijzing verwijderen"
"Edit Item Type","Artikeltype bewerken"
"Edit Item Type ""%s""","Artikeltype ""%s"" bewerken"
"Error: %s","Fout: %s"
"Expires","Verloopt"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google basis-attribuut"
"Google Base ID","Google basis-ID"
"Google Base Item Type","Google basis-artikeltype"
"Google Base Item type","Google basis-artikeltype"
"Google Base Items","Google Base Items"
"Google base","Google Base"
"Hide","Verbergen"
"Hosted","Gehost"
"Hosted or Google","Gehost of via Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ongelding productmodel voor Google basisartikel"
"Item Type was deleted","Artikeltype is verwijderd"
"Item Types","Artikeltypes"
"Item model is not specified to delete Google Base entry.","Item model is niet gespecifieerd bij het verwijderen van Google Base regel"
"Items","Artikelen"
"Manage Attribute Mapping","Beheer attribuuttoewijzing"
"Manage Attributes","Beheer attributen"
"Manage Items","Beheer artikelen"
"New Item Type","Nieuw artikeltype"
"New ItemType","Nieuw item-type"
"No","Nee"
"No items were deleted from Google Base","Er zijn geen artikelen verwijderd uit Google Base"
"No items were published","Er zijn geen artikelen gepubliceerd"
"No items were saved as inactive items","Er zijn geen items bewaard als inactief"
"No products were added to Google Base","Er zijn geen producten toegevoegd aan Google Base"
"Object model is not specified to save Google Base entry.","Object-model is niet gespecifieerd bij het opslaan van Google Base regel"
"Please, select Attribute Set and Google Item Type to load attributes","Selecteer attributen-set en Google artikeltype om attributen te laden"
"Product Name","Productnaam"
"Publish","Publiceren"
"Published","Gepubliceerd"
"Remove","Verwijderen"
"Save Mapping","Toewijzing opslaan"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sessie is verlopen tijdens export. Controleert u de exporteerde gegevens en herhaal het proces indien nodig."
"Synchronize","Synchroniseren"
"Target Country","Doel-land"
"The item type has been saved.","Item-type is opgeslagen."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Deze procedure zal de artikelstatistieken updaten en de artikelen verwijderen die niet beschikbaar zijn in Google Base. Doorgaan?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","%d item(s) zijn verwijderd; %d item(s) zijn geupdate"
"Total of %d items(s) have been published.","%d item(s) zijn gepubliceerd."
"Total of %d items(s) have been removed from Google Base.","%d item(s) zijn verwijderd uit Google Base"
"Total of %d items(s) have been saved as inactive items.","%d item(s) zijn bewaard als inactief."
"Total of %d product(s) have been added to Google Base.","%d item(s) zijn toegevoegd aan Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kan niet verbinden met Google Base. Controleer uw account-instellingen in de configuratie."
"Unable to select a Store View.","Niet in staat een winkelaanzicht te selecteren."
"View Available Products","Beschikbare producten bekijken"
"View Item in Google Base","Artikel in Google Base bekijken"
"Yes","Ja"
