"Currency","Currency"
"Custom currency symbols were applied successfully.","Les symboles de devise personnalisés ont bien été appliqués."
"Manage Currency","Gérer la devise"
"Manage Currency Rates","Gestion des taux des devises"
"Rates","Taux"
"Save Currency Symbols","Enregistrer les symboles de devise"
"Symbol","Symbol"
"Symbols","Symboles"
"System","Système"
"Use Standard","Utiliser le standard"
